-0,724658
-0,766992
-0,722168
-0,669873
-0,622559
-0,468164
-0,346143
-0,254004
-0,196729
-0,206689
-0,141943
-0,052295
-0,1021
-0,151904
-0,234082
-0,338672
-0,381006
-0,453223
-0,592676
-0,63999
-0,662402
-0,664893
-0,654932
-0,734619
-0,766992
-0,692285
-0,600146
-0,475635
-0,328711
-0,21167
-0,084668
0,047314
0,092139
0,141943
0,204199
0,21416
0,244043
0,278906
0,21416
0,221631
0,204199
0,124512
0,082178
0,007471
-0,112061
-0,134473
-0,174316
-0,298828
-0,328711
-0,328711
-0,306299
-0,20918
-0,174316
-0,189258
-0,139453
-0,037354
0,151904
0,326221
0,376025
0,381006
0,42085
0,42334
0,445752
0,485596
0,483105
0,540381
0,630029
0,64248
0,649951
0,620068
0,522949
0,525439
0,500537
0,453223
0,450732
0,440771
0,351123
0,31875
0,276416
0,20918
0,236572
0,258984
0,164355
0,1021
0,014941
-0,049805
-0,00498
0,027393
0,039844
0,084668
0,084668
0,049805
0,064746
0,049805
0,014941
-0,042334
-0,171826
-0,353613
-0,498047
-0,682324
-0,889014
-1,06582
-1,245117
-1,404492
-1,479199
-1,541455
-1,621143
-1,613672
-1,601221
-1,511572
-1,317334
-1,123096
-0,926367
-0,654932
-0,443262
-0,278906
-0,054785
0,164355
0,356104
0,63501
0,906445
1,103174
1,327295
1,459277
1,506592
1,538965
1,509082
1,434375
1,426904
1,387061
1,329785
1,297412
1,212744
1,115625
1,080762
1,038428
1,025977
1,035937
0,933838
0,784424
0,63999
0,42085
0,263965
0,129492
-0,064746
-0,191748
-0,298828
-0,480615
-0,654932
-0,84917
-1,06084
-1,145508
-1,16543
-1,222705
-1,257568
-1,294922
-1,309863
-1,230176
-1,16792
-1,068311
-0,884033
-0,754541
-0,620068
-0,495557
-0,5354
-0,572754
-0,525439
-0,495557
-0,415869
-0,333691
-0,358594
-0,31626
-0,31875
-0,351123
-0,356104
-0,363574
-0,333691
-0,199219
-0,129492
-0,089648
-0,032373
-0,00498
0,117041
0,303809
0,473145
0,684814
0,861621
1,011035
1,175391
1,212744
1,217725
1,255078
1,230176
1,245117
1,220215
1,035937
0,831738
0,575244
0,303809
0,052295
-0,229102
-0,470654
-0,677344
-0,881543
-0,928857
-0,928857
-1,020996
-1,05835
-1,088232
-1,123096
-1,073291
-1,093213
-1,17041
-1,185352
-1,147998
-1,06084
-0,986133
-1,020996
-1,016016
-0,95127
-0,916406
-0,896484
-0,923877
-0,95874
